s	label	def	source	parent
rksd:Granodiorite	granodiorite	Phaneritic crystalline rock consisting essentially of quartz, sodic plagioclase and lesser amounts of alkali feldspar with minor hornblende and biotite. Includes rocks defined modally in QAPF field 4.	LeMaitre et al. 2002	rksd:Granitoid
rksd:Tonalite	tonalite	Granitoid consisting of quartz and intermediate plagioclase, usually with biotite and amphibole. Includes rocks defined modally in QAPF field 5; ratio of plagioclase to total feldspar is greater than 0.9.	LeMaitre et al. 2002	rksd:Granitoid
sesrs:boulder_gravel_size_sediment	boulder gravel size sediment	Sediment containing greater than 30 percent boulder-size particles (greater than 256 mm in diameter)	Wentworth size scale	rksd:Gravel_Size_Sediment
sesrs:cobble_gravel_size_sediment	cobble gravel size sediment	Sediment containing greater than 30 percent cobble-size particles (64-256 mm in diameter)	Wentworth size scale	rksd:Gravel_Size_Sediment
sesrs:gravel	gravel	Clastic sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Gravel in which more than half of the particles are of epiclastic origin	definition of gravel from SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Gravel_Size_Sediment
sesrs:pebble_gravel_size_sediment	pebble gravel size sediment	Sediment containing greater than 30 percent pebble-size particles (2.0 -64 mm in diameter)	Wentworth size scale	rksd:Gravel_Size_Sediment
sesrs:Boninite	boninite	andesitic rock that contains more than 8 percent MgO. Typically consists of phenocrysts of protoenstatite, orthopyroxene, clinopyroxene, and olivine in a glassy base full of crystallites, and exhibits textures characterisitc of rapid crystal growth.	LeMaitre et al. 2002	rksd:High_Magnesium_Fine_Grained_Igneous_Rock
sesrs:Komatiitic_Rock	komatiitic rock	Ultramafic, magnesium-rich volcanic rock, typically with spinifex texture of intergrown skeletal and bladed olivine and pyroxene crystals set in abundant glass. Includes komatiite and meimechite.	LeMaitre et al. 2002	rksd:High_Magnesium_Fine_Grained_Igneous_Rock
rksd:Volcanic_Rock	Volcanic rock	Rock that exhibits direct evidence of extrusive igneous processes in its genesis.		rksd:Igneous_Rock
rksd:Acidic_Igneous_Rock	acidic igneous rock	Igneous rock with more than 63 percent SiO2.	after LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Basic_Igneous_Rock	basic igneous rock	Igneous rock with between 45 and 52 percent SiO2.	Neuendorf et al 2005; LeMaitre et al. 2002; Gillespie and Styles 1999	rksd:Igneous_Rock
rksd:Basic_Igneous_Rock	basic igneous rock	Igneous rock with between 45 and 52 percent SiO2.	after LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Doleritic_Rock	doleritic rock	Dark colored gabbroic (basaltic) or dioritic (andesitic) rock intermediate in grain size between basalt and gabbro and composed of plagioclase, pyroxene and opaque minerals; often with ophitic texture. Typically occurs as hypabyssal intrusions. Includes dolerite, microdiorite, diabase and microgabbro.	Neuendorf et al 2005; LeMaitre et al. 2002; Gillespie and Styles 1999	rksd:Igneous_Rock
rksd:Exotic_Composition_Igneous_Rock	exotic composition igneous rock	Rock or tephra with exotic mineralogical, textural or field setting characteristics; typically dark colored, with abundant phenocrysts. Criteria include: presence of greater than 10 percent melilite or leucite, or presence of kalsilite, or greater than 50 percent carbonate minerals. Includes Carbonatite, Melilitic rock, Kalsilitic rocks, Kimberlite, Lamproite, Leucitic rock and Lamprophyres. @en ;	Gillespie and Styles 1999; LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Fine_Grained_Igneous_Rock	fine grained igneous rock	Igneous rock in which the framework of the rock consists of crystals that are too small to determine mineralogy with the unaided eye; framework may include up to 50 percent glass. A significant percentage of the rock by volume may be phenocrysts. Includes rocks that are generally called volcanic rocks.	Gillespie and Styles 1999; LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Fragmental_Igneous_Rock	fragmental igneous rock	Igneous rock in which greater than 75 percent of the rock consists of fragments produced as a result of igneous rock-forming process. Includes pyroclastic rocks, autobreccia associated with lava flows and intrusive breccias. Excludes deposits reworked by epiclastic processes (see Tuffite)	This vocabulary	rksd:Igneous_Rock
rksd:Glass_Rich_Igneous_Rock	glass rich igneous rock	Igneous rock that contains greater than 50 percent massive glass.	This vocabulary, based on Gillespie and Styles 1999	rksd:Igneous_Rock
rksd:Hypabyssal_Intrusive_Rock	hypabyssal intrusive rock	Igneous rocks formed by crystallisation close to the Earth's surface, characterized by more rapid cooling than plutonic setting to produce generally fine-grained intrusive igneous rock, commonly associated with co-magmatic volcanic rocks.	This vocabulary	rksd:Igneous_Rock
rksd:Intermediate_Composition_Igneous_Rock	intermediate composition igneous rock	Igneous rock with between 52 and 63 percent SiO2.	after LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Phaneritic_Igneous_Rock	plutonic rock	Igneous rock in which the framework of the rock consists of individual crystals that can be discerned with the unaided eye. Bounding grain size is on the order of 32 to 100 microns. Igneous rocks with 'exotic' composition are excluded from this concept.	Neuendorf et al. 2005	rksd:Igneous_Rock
rksd:Phaneritic_Igneous_Rock	plutonic rock	Igneous rock in which the framework of the rock consists of individual crystals that can be discerned with the unaided eye. Bounding grain size is on the order of 32 to 100 microns. Igneous rocks with 'exotic' composition are excluded from this concept.	This vocabulary	rksd:Igneous_Rock
rksd:Phaneritic_Igneous_Rock	plutonic rock	Instrusive igneous rock formed by crystallisation of magma far enough below Earth surface that complete crystallization of magma bodies forms holocrystalline medium to coarse grained igneous rock, wall rocks generally do not include volcanic products related to the magma, and some contact metamorphism is typically developed at intrusive contacts.	Neuendorf et al. 2005	rksd:Igneous_Rock
rksd:Phaneritic_Igneous_Rock	plutonic rock	Instrusive igneous rock formed by crystallisation of magma far enough below Earth surface that complete crystallization of magma bodies forms holocrystalline medium to coarse grained igneous rock, wall rocks generally do not include volcanic products related to the magma, and some contact metamorphism is typically developed at intrusive contacts.	This vocabulary	rksd:Igneous_Rock
rksd:Porphyry	porphyry	Igneous rock that contains conspicuous phenocrysts in a finer grained groundmass; groundmass itself may be phaneritic or fine-grained.	LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Ultrabasic_Igneous_Rock	ultrabasic igneous rock	Igneous rock with less than 45 percent SiO2.	after LeMaitre et al. 2002	rksd:Igneous_Rock
rksd:Ultramafic_Igneous_Rock	ultramafic igneous rock	Igneous rock that consists of greater than 90 percent mafic minerals.	LeMaitre et al. 2002; Gillespie and Styles 1999	rksd:Igneous_Rock
rksd:Andesite	andesite	Fine-grained igneous rock with less than 20 percent quartz and less than 10 percent feldspathoid minerals in the QAPF fraction, in which the ratio of plagioclase to total feldspar is greater 0.65. Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field O2 as andesite. Basalt and andesite, which share the same QAPF fields, are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica. If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight. Typically consists of plagioclase (frequently zoned from labradorite to oligoclase), pyroxene, hornblende and/or biotite. Fine grained equivalent of dioritic rock.	after LeMaitre et al. 2002	rksd:Intermediate_Composition_Igneous_Rock
rksd:Dioritoid	dioritoid	Phaneritic crystalline igneous rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. Plagioclase to total feldspar ratio is greater that 0.65, and anorthite content of plagioclase is less than 50 percent. Less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction. Includes rocks defined modally in QAPF fields 9 and 10 (and their subdivisions).	LeMaitre et al. 2002	rksd:Intermediate_Composition_Igneous_Rock
sesrs:hydrothermal_massive_sulphide	Hydrothermal Massive Sulphide	Rock consisting of greater that 50% sulphide or sulfosalt minerals formed by hydrothermal mineralization processes.	provisional by SMR 2020-06-07	rksd:Massive_Sulphide
sesrs:sedimentary_massive_sulphide	Sedimentary Massive Sulphide	rock consisting of greater than 50% sulphide or sulfosalt minerals formed by sedimentary exhalative processes.	smr provisional 2020-06-07	rksd:Massive_Sulphide
sesrs:amphibolite	amphibolite	Metamorphic rock mainly consisting of green, brown or black amphibole and plagioclase (including albite), which combined form 75 percent or more of the rock, and both of which are present as major constituents. The amphibole constitutes 50 percent or more of the total mafic constituents and is present in an amount of 30 percent or more; other common minerals include quartz, clinopyroxene, garnet, epidote-group minerals, biotite, titanite and scapolite.	Coutinho et al. 2007, IUGS SCMR chapter 8 (http://www.bgs.ac.uk/SCMR/)	rksd:Metamorphic_Rock
sesrs:argillite	argillite	A weakly metamorphosed argillaceous rock (Flawn, 1953, AAPG Bull v37 p.563-664).  Rock is very fine-grained to aphanitic, compact, indurated, and massive (lacks fissility or cleavage) (Neuendorf et al, 2004). Claystone and Siltstone are related, non-metamorphosed sedimentary rocks. Like Aphanite but sedimentary protolith is determined. In contact metamorphic environments would be Hornfels.	Neuendorf et al, 2004, provisional SMR 2020-06-11	rksd:Metamorphic_Rock
sesrs:glaucophane_lawsonite_epidote_metamorphic_rock	blueschist	A metamorphic rock of roughly basaltic composition, defined by the presence of glaucophane with lawsonite or epidote. Other minerals that may be present include jadeite, albite, chlorite, garnet, and muscovite (phengitic white mica). Typically fine-grained, dark colored. Category for rocks commonly referred to as blueschist.	This vocabulary	rksd:Metamorphic_Rock
sesrs:calcsilicate_metamorphic_rock	calc silicate metamorphic rock	metamorphic rock containing abundant calcium-silicate minerals	This vocabulary	rksd:Metamorphic_Rock
sesrs:eclogite	eclogite	Metamorphic rock composed of 75 percent or more (by volume) omphacite and garnet, both of which are present as major constituents, the amount of neither of them being higher than 75 percent (by volume); the presence of plagioclase precludes classification as an eclogite.	IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/)	rksd:Metamorphic_Rock
sesrs:foliated_metamorphic_rock	foliated metamorphic rock	Metamorphic rock in which 10 percent or more of the contained mineral grains are elements in a planar or linear fabric. Cataclastic or glassy character precludes classification with this concept.	based on NADM SLTT metamorphic	rksd:Metamorphic_Rock
sesrs:granofels	granofels	Metamorphic rock with granoblastic fabric and very little or no foliation (less than 10 percent of the mineral grains in the rock are elements in a planar or linear fabric). Grainsize not specified.	SLTTm 2004	rksd:Metamorphic_Rock
sesrs:granulite	granulite	Metamorphic rock of high metamorphic grade in which Fe-Mg silicate minerals are dominantly hydroxl-free; feldspar must be present, and muscovite is absent; rock contains less than 90 percent mafic minerals, less than 75 percent calcite and/or dolomite, less than 75 percent quartz, less than 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), and less than 50 percent calc-silicate minerals.	Fettes and Desmons (2007). See also Wimmenauer (1985), Winkler (1979) (D.R. Bowes (1989), The Encyclopedia of Igneous and Metamorphic Petrology; Van Nostrand Reinhold ISBN: 0-442-20623-2 ; wikipedia, http://en.wikipedia.org/wiki/Granulite accessed 5/30/09	rksd:Metamorphic_Rock
sesrs:greenstone	greenstone	Metamorphic rock characterized by 50 percent or more of combined chlorite, actinolite and epidote. Category for rocks generally named greenschist or greenstone.	This vocabulary	rksd:Metamorphic_Rock
sesrs:marble	marble	Metamorphic rock consisting of greater than 75 percent fine- to coarse-grained recrystallized calcite and/or dolomite; usually with a granoblastic, saccharoidal texture.	IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/), SLTTm1.0 2004	rksd:Metamorphic_Rock
sesrs:meta_ultramafic_rock	metamorphosed ultramafic rock	Metamorphic rock with a protolith that is a ultramafic rock.		rksd:Metamorphic_Rock
sesrs:metaplutonic_rock	metaplutonic rock	Rock formed by metamorphism of a plutonic igneous protolith.	This vocabulary	rksd:Metamorphic_Rock
sesrs:metasedimentary_rock	metasedimentary rock	Rock formed by metamorphism of a sedimentary protolith.	This vocabulary	rksd:Metamorphic_Rock
sesrs:metavolcanic_rock	metavolcanic rock	Rock formed by metamorphism of an extrusive igneous protolith.	This vocabulary	rksd:Metamorphic_Rock
sesrs:migmatite	migmatite	Silicate metamorphic rock that is pervasively heterogeneous on a decimeter to meter scale that typically consists of darker and lighter parts; the darker parts usually exhibit features of metamorphic rocks whereas the lighter parts are of igneous-looking appearance.	Fette and Desmons (2007) (http://www.bgs.ac.uk/SCMR/)	rksd:Metamorphic_Rock
sesrs:quartzite	quartzite	Metamorphic rock consisting of greater than or equal to 75 percent quartz; typically granoblastic texture.	after Neuendorf et al. 2005	rksd:Metamorphic_Rock
sesrs:altered_rock	Altered, type not specified 	Rock material has been changed by some subsurface alteration process, but the nature of the alteration is not specified.		rksd:Metasomatic_Rock
sesrs:greisen	Greisen	Greisen is a class of endoskarn,  formed by self-generated alteration of a granite. Greisens appear as partly coarse, crystalline granite, partly vuggy with miarolitic cavities, disseminated halide minerals such as fluorite, and occasionally metallic oxide and sulfide ore minerals, borate minerals (tourmaline) and accessory phases such as sphene, beryl or topaz.	https://en.wikipedia.org/wiki/Greisen	rksd:Metasomatic_Rock
sesrs:hydrothermal_massive_sulphide	Hydrothermal Massive Sulphide	Rock consisting of greater that 50% sulphide or sulfosalt minerals formed by hydrothermal mineralization processes.	provisional by SMR 2020-06-07	rksd:Metasomatic_Rock
sesrs:rodingite	Rodingite	Rodingite is a metasomatic rock composed of grossular-andradite garnet, calcic pyroxene, vesuvianite, epidote and scapolite. Rodingites are common where mafic rocks are in proximity to serpentinized ultramafic rocks. The mafic rocks are altered by high pH, Ca2+ and OH? fluids, which are a byproduct of the serpentinization process, and become rodingites. The mineral content of rodingites is highly variable, their high calcium, low silicon and environment of formation being their defining characteristic. Rodingites are common in ophiolites, serpentinite mélanges, ocean floor peridotites and eclogite massifs. https://en.wikipedia.org/wiki/Rodingite		rksd:Metasomatic_Rock
sesrs:skarn	skarn	Metasomatic rock consisting mainly of Ca-, Mg-, Fe-, or Mn-silicate minerals, which are free from or poor in water. Typically formed at the contact between a silicate rock or magma and a carbonate rock.	Fettes and Desmons, 2007, p195	rksd:Metasomatic_Rock
sesrs:spilite	spilite	Altered basic to intermediate composition fine-grained igneous rock in which the feldspar is partially or completely composed of of albite, typically accompanied by chlorite, calcite, quartz, epidote, prehnite, and low-tempaerature hydrous crystallization products. Preservation of eruptive volcanic features is typical.	Fettes and Desmon, 2007; Best, M.G., 1982, Igneous and metamorphic petrology: New York, W.H. Freeman and company, p. 398; Neuendorf et al. 2005, p. 619.	rksd:Metasomatic_Rock
sesrs:Foid_Bearing_Monzogabbro	foid bearing monzogabbro	Monzogabbroic rock that contains 0 to 10 percent feldspathoid mineral in the QAPF fraction. QAPF field 9'.	LeMaitre et al. 2002	rksd:Monzogabbroic_Rock
sesrs:Monzogabbro	monzogabbro	Monzogabbroic rock that contains between 0 an 5 percent quartz and no feldspathoid mineral in the QAPF fraction. Includes rocks defined modally in QAPF field 9 .	LeMaitre et al. 2002, This vocabulary	rksd:Monzogabbroic_Rock
sesrs:Quartz_Monzogabbro	quartz monzogabbro	Monzogabbroic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 9*.	LeMaitre et al. 2002	rksd:Monzogabbroic_Rock
sesrs:carbonate_mud	carbonate mud	Carbonate sediment composed of less than 25 percent clasts that have a maximum diameter more than 2 mm, and the ratio of sand size to mud size clasts is less than one.	follow pattern used for clastic sand and mud categories, based on SLTTs 2004	rksd:Mud_Size_Sediment
sesrs:carbonate_rich_mud	carbonate rich mud	Mud size sediment that contains between 10 and 50 percent carbonate minerals in any size fraction. Carbonate origin is not specified.	This vocabulary	rksd:Mud_Size_Sediment
sesrs:mud	mud	Clastic sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. More than half of the particles are of epiclastic origin.	definition of mud from SLTTs 2004 muddy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Mud_Size_Sediment
sesrs:ooze	ooze	Biogenic sediment consisting of less than 1 percent gravel-size (greater than or equal to 2 mm) particles, with a sand to mud ratio less than 1 to 9, and less than 50 percent carbonate minerals.	based on Bates and Jackson 1987 and Hallsworth and Knox 1999	rksd:Mud_Size_Sediment
sesrs:silicate_mud	silicate mud	Mud size sediment that consists of less than 50 percent carbonate minerals and less than 50 percent clastic particles.	This vocabulary	rksd:Mud_Size_Sediment
sesrs:phyllonite	phyllonite	Mylonitic rock composed largely of fine-grained mica that imparts a sheen to foliation surfaces; may have flaser lamination, isoclinal folding, and deformed veins, which indicate significant shearing. Macroscopically resembles phyllite, but formed by mechanical degradation of initially coarser rock.	NADM metamorphic rock vocabulary SLTTm1.0; Marshak and Mitra 1988	rksd:Mylonitic_Rock
sesrs:biogenic_silica_sedimentary_rock	biogenic silica sedimentary rock	Sedimentary rock that consists of at least 50 percent silicate mineral material, deposited directly by biological processes at the depositional surface, or in particles formed by biological processes within the basin of deposition. Includes radiolarian chert, diatomite, novaculite.	based on NADM SLTT sedimentary; Hallsworth and Knox 1999	rksd:Non_Clastic_Siliceous_Sedimentary_Rock
rksd:Coal	kohle	A consolidated organic sedimentary material having less than 75% moisture. This category includes low, medium, and high rank coals according to International Classification of In-Seam Coal (United Nations, 1998), thus including lignite. Sapropelic coal is not distinguished in this category from humic coals. Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.	rksd:Organic_Rich_Sedimentary_Rock
rksd:Coal	coal	A consolidated organic sedimentary material having less than 75% moisture. This category includes low, medium, and high rank coals according to International Classification of In-Seam Coal (United Nations, 1998), thus including lignite. Sapropelic coal is not distinguished in this category from humic coals. Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.	rksd:Organic_Rich_Sedimentary_Rock
sesrs:felsic_plutonic_rock	Felsic plutonic rock	light-colored plutonic rock containing an abundance of quartz, feldspar, muscovite, or felspathoid		rksd:Phaneritic_Igneous_Rock
sesrs:intermediate_plutonic_rock	Intermediate color plutonic rock	Plutonic rock that has sub-equal proportion of light and dark colored mineral. Not recommended for usage with new sample registrations. (see acid, basic, intermediate composition categories)		rksd:Phaneritic_Igneous_Rock
sesrs:mafic_plutonic_rock	Mafic plutonic rock	Dark-colored plutonic rock containing an abundance of ferromagnesian rock-forming silicates, especially Pyroxene Group, Amphibole Supergroup, olivine and biotite		rksd:Phaneritic_Igneous_Rock
sesrs:ultramafic_plutonic_rock	Ultramafic plutonic rock	Plutonic rock that consists of greater than 90 percent ferromagnesian rock-forming silicates, especially Pyroxene Group, Amphibole Supergroup, olivine and biotite.		rksd:Phaneritic_Igneous_Rock
rksd:Anorthositic_Rock	anorthositic rock	Anorthositic rock term invented to label the combined QAPF fields 10, 10*, and 10', in order to construct hierarchy in this vocabulary.	LeMaitre et al. 2002; This vocabulary	rksd:Phaneritic_Igneous_Rock
rksd:Anorthositic_Rock	anorthositic rock	Leucocratic phaneritic crystalline igneous rock consisting essentially of plagioclase, often with small amounts of pyroxene. By definition, colour index M is less than 10, and plagiclase to total feldspar ratio is greater than 0.9. Less than 20 percent quartz and less than 10 percent feldspathoid in the QAPF fraction. QAPF field 10, 10*, and 10'.	LeMaitre et al. 2002; This vocabulary	rksd:Phaneritic_Igneous_Rock
rksd:Aplite	aplite	Light coloured crystalline rock, characterized by a fine grained allotriomorphic-granular (aplitic, saccharoidal or xenomorphic) texture; typically granitic composition, consisting of quartz, alkali feldspar and sodic plagioclase.	Neuendorf et al. 2005	rksd:Phaneritic_Igneous_Rock
rksd:Dioritoid	dioritoid	Phaneritic crystalline igneous rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. Plagioclase to total feldspar ratio is greater that 0.65, and anorthite content of plagioclase is less than 50 percent. Less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction. Includes rocks defined modally in QAPF fields 9 and 10 (and their subdivisions).	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Foid_Dioritoid	foid dioritoid	Phaneritic crystalline igneous rock in which M is less than 90, the plagioclase to total feldspar ratio is greater than 0.5, feldspathoid minerals form 10-60 percent of the QAPF fraction, plagioclase has anorthite content less than 50 percent. These rocks typically contain large amounts of mafic minerals. Includes rocks defined modally in QAPF fields 13 and 14.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Foid_Gabbroid	foid gabbroid	Phaneritic crystalline igneous rock in which M is less than 90, the plagioclase to total feldspar ratio is greater than 0.5, feldspathoids form 10-60 percent of the QAPF fraction, and plagioclase has anorthite content greater than 50 percent. These rocks typically contain large amounts of mafic minerals. Includes rocks defined modally in QAPF fields 13 and 14.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Foid_Syenitoid	foid syenitoid	Phaneritic crystalline igneous rock with M less than 90, contains between 10 and 60 percent feldspathoid mineral in the QAPF fraction, and has a plagioclase to total feldspar ratio less than 0.5. Includes QAPF fields 11 and 12.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Foidolite	foidolite	Phaneritic crystalline rock containing more than 60 percent feldspathoid minerals in the QAPF fraction. Includes rocks defined modally in QAPF field 15	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Gabbroid	gabbroid	Phaneritic crystalline igneous rock that contains less than 90 percent mafic minerals, and up to 20 percent quartz or up to 10 percent feldspathoid in the QAPF fraction. The ratio of plagioclase to total feldspar is greater than 0.65, and anorthite content of the plagioclase is greater than 50 percent. Includes rocks defined modally in QAPF fields 9 and 10 and their subdivisions.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Granitoid	granitoid	Phaneritic crystalline igneous rock consisting of quartz, alkali feldspar and/or plagioclase. Includes rocks defined modally in QAPF fields 2, 3, 4 and 5 as alkali feldspar granite, granite, granodiorite or tonalite.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Pegmatite	pegmatite	Exceptionally coarse grained crystalline rock with interlocking crystals; most grains are 1cm or more diameter; composition is generally that of granite, but the term may refer to the coarse grained facies of any type of igneous rock;usually found as irregular dikes, lenses, or veins associated with plutons or batholiths.	Neuendorf et al. 2005	rksd:Phaneritic_Igneous_Rock
rksd:Quartz_Rich_Igneous_Rock	quartz rich igneous rock	Phaneritic crystalline igneous rock that contains less than 90 percent mafic minerals and contains greater than 60 percent quartz in the QAPF fraction.	Gillespie and Styles 1999; LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
rksd:Syenitoid	syenitoid	Phaneritic crystalline igneous rock with M less than 90, consisting mainly of alkali feldspar and plagioclase; minor quartz or nepheline may be present, along with pyroxene, amphibole or biotite. Ratio of plagioclase to total feldspar is less than 0.65, quartz forms less than 20 percent of QAPF fraction, and feldspathoid minerals form less than 10 percent of QAPF fraction. Includes rocks classified in QAPF fields 6, 7 and 8 and their subdivisions.	LeMaitre et al. 2002	rksd:Phaneritic_Igneous_Rock
sesrs:Phonolilte	phonolite	Phonolitoid in which the plagioclase to total feldspar ratio is less than 0.1. Rock consists of alkali feldspar, feldspathoid minerals, and mafic minerals.	LeMaitre et al. 2002	rksd:Phonolitoid
sesrs:Tephritic_Phonolite	tephritic phonolite	Phonolitoid that has a plagioclase to total feldspar ratio between 0.1 and 0.5. Broadly corresponds to TAS tephriphonolite of TAS field U3.	LeMaitre et al. 2002	rksd:Phonolitoid
sesrs:Ash_Tuff_Lapillistone_And_Lapilli_Tuff	ash tuff lapillistone and lapilli tuff	Pyroclastic rock in which less than 25 percent of rock by volume are more than 64 mm in longest diameter. Includes tuff, lapilli tuff, and lapillistone.	Schmid 1981; LeMaitre et al. 2002	rksd:Pyroclastic_Rock
sesrs:Tuff_Breccia_Agglomerate_Or_Pyroclastic_Breccia	tuff breccia agglomerate or pyroclastic breccia	Pyroclastic rock in which greater than 25 percent of particles are greater than 64 mm in largest dimension. Includes agglomerate, pyroclastic breccia of Gillespie and Styles (1999)	Schmid 1981; LeMaitre et al. 2002	rksd:Pyroclastic_Rock
sesrs:Alkali_Feldspar_Rhyolite	alkali feldspar rhyolite	Rhyolitoid in which the ratio of plagioclase to total feldspar is less than 0.1. QAPF field 2.	LeMaitre et al. 2002	rksd:Rhyolitoid
sesrs:Rhyolite	rhyolite	rhyolitoid in which the ratio of plagioclase to total feldspar is between 0.1 and 0.65.	LeMaitre et al. 2002	rksd:Rhyolitoid
sesrs:sand	sand	Clastic sediment in which less than 30 percent of particles are gravel (greater than 2 mm in diameter) and the sand to mud ratio is at least 1. More than half of the particles are of epiclastic origin.	definition of sand from SLTTs 2004 sandy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Sand_Size_Sediment
rksd:Generic_Sandstone	Generic sandstone	Sedimentary rock in which less than 30 percent of particles are greater than 2 mm in diameter (gravel) and the sand to mud ratio is at least 1.	SLTTs 2004; Neuendorf et al. 2005; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Sedimentary_Rock
rksd:Carbonate_Sedimentary_Rock	carbonate sedimentary rock	Sedimentary rock in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite, magnesite or dolomite.	SLTTs 2004	rksd:Sedimentary_Rock
rksd:Clastic_Sedimentary_Rock	clastic sedimentary rock	Sedimentary rock in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.	SLTTs 2004; Neuendorf et al. 2005	rksd:Sedimentary_Rock
rksd:Generic_Conglomerate	generic conglomerate	Sedimentary rock composed of at least 30 percent rounded to subangular fragments larger than 2 mm in diameter; typically contains finer grained material in interstices between larger fragments. If more than 15 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wackestone. If rock has unsorted or poorly sorted texture with a wide range of particle sizes, may also be categorized as diamictite.	Neuendorf et al. 2005; SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Sedimentary_Rock
rksd:Generic_Mudstone	generic mudstone	Sedimentary rock consisting of less than 30 percent gravel-size (2 mm) particles and with a mud to sand ratio greater than 1. Clasts may be of any composition or origin.	Pettijohn et al. 1987 referenced in Hallsworth and Knox 1999; extrapolated from Folk, 1954, Figure 1a; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:Sedimentary_Rock
rksd:Hybrid_Sedimentary_Rock	hybrid sedimentary rock	Sedimentary rock that does not fit any of the other composition/genesis categories. Sedimentary rock consisting of three or more components which form more than 5 percent but less than 50 precent of the material.	Hallsworth and Knox, 1999	rksd:Sedimentary_Rock
