s	deflist
sessf:shoreline	Geologic settings characterized by location adjacent to the ocean or a lake. A zone of indefinite width (may be many kilometers), bordering a body of water that extends from the water line inland to the first major change in landform features. Includes settings that may be subaerial, intermittently subaqueous, or shallow subaqueous, but are intrinsically associated with the interface between land areas and water bodies.
sessf:slope_continental	
sessf:slope_insular	
sessf:slope_rise_setting	The part of a subaqueous basin that is between a bordering shelf setting, which separate the basin from an adjacent landmass, and a very low-relief basin plain setting.
sessf:soil_profile	Sampled feature is a section through the soil accumulation at the Earth's surface.
sessf:strandplain	A prograded shore built seaward by waves and currents, and continuous for some distance along the coast. It is characterized by subparallel beach ridges and swales, in places with associated dunes.
sessf:stratigraphic_section	Sampled feature is a sequence of sedimentary (and possibly volcanic) layers deposited in a sequence in a particular region.
sessf:subaerial_canyon	A canyon that is open to the Earth's atmosphere
sessf:subaerial_escarpment	An escarpment that is on the land surface, open to the atmosphere.
sessf:subaqueous_bar	
sessf:subaqueous_setting	Setting situated in or under permanent, standing water. Used for marine and lacustrine settings, but not for fluvial settings.
sessf:subduction_zone	Tectonic setting at which a tectonic plate, usually oceanic, is moving down into the mantle beneath another overriding plate.
sessf:subglacial_setting	Formed or accumulated in or by the bottom parts of a glacier or ice sheet, said of meltwater streams, till, moraine, etc.
sessf:submarine_bank	a part of the seabed that is shallow compared to its surrounding area.
sessf:submarine_canyon	A canyon that is cut in the ocean floor.
sessf:submarine_channel	
sessf:submarine_escarpment	
sessf:submarine_fan	Large fan-shaped cones of sediment on the ocean floor, generally associated with submarine canyons that provide sediment supply to build the fan..
sessf:submarine_ridge	A ridge on the ocean floor
sessf:submarine_vent	
sessf:supraglacial_setting	Carried upon, deposited from, or pertaining to the top surface of a glacier or ice sheet, said of meltwater streams, till, drift, etc. (Jackson, 1997, p. 639). Dreimanis (1988, p. 39) recommendation that \supraglacial\ supersede \superglacial\ is followed.
sessf:supratidal_setting	Pertaining to the shore area marginal to the littoral zone, just above high-tide level
sessf:swamp_or_marsh	A water-saturated, periodically wet or continually flooded area with the surface not deeply submerged, essentially without the formation of peat. Marshes are characterized by sedges, cattails, rushes, or other aquatic and grasslike vegetation. Swamps are characterized by tree and brush vegetation.
sessf:tectonic_setting	Setting defined by relationships to tectonic plates on or in the Earth.
sessf:terrace	a long, narrow, relatively flat surface, bounded on one side by a descending slope and on the other by an ascending slope, defining a bench like feature in the Earth surface.
sessf:terrestrial_setting	Setting characterized by absence of direct marine influence. Most of the subaerial settings are also terrestrial, but e.g. lacustrine settings, while terrestrial, are not subaerial.
sessf:thrust_sheet	A body of rock bounded at its base by a thrust fault, and bounded above by the Earth surface or a different thrust fault.
sessf:tidal_channel	A major channel followed by the tidal currents, extending from offshore into a tidal marsh or a tidal flat.
sessf:tidal_flat	An extensive, nearly horizontal, barren tract of land that is alternately covered and uncovered by the tide, and consisting of unconsolidated sediment (mostly mud and sand). It may form the top surface of a deltaic deposit.
sessf:tidal_marsh	A marsh bordering a coast (as in a shallow lagoon or sheltered bay), formed of mud and of the resistant mat of roots of salt-tolerant plants, and regularly inundated during high tides, a marshy tidal flat.
sessf:tidal_setting	Setting subject to tidal processes
sessf:transform_plate_boundary	Plate boundary at which the adjacent plates are moving laterally relative to each other.
sessf:transitional_crust	Crust formed in the transition zone between continental and oceanic crust, during the history of continental rifting that culminates in the formation of a new ocean.
sessf:triple_junction	a setting characterized by interaction of three tectonic plates.
sessf:ultra_high_pressure_crustal_setting	Setting characterized by pressures characteristic of upper mantle, but indicated by mineral assemblage in crustal composition rocks.
sessf:upper_bathyal_setting	The ocean environment at water depths between 200 and 600 metres
sessf:upper_continental_crust	Continental crustal setting dominated by non metamorphosed to low greenschist facies metamorphic rocks, and brittle deformation.
sessf:upper_delta_plain	The part of a delta plain essentially unaffected by basinal processes. They do not differ substantially from alluvial environments except that areas of swamp, marsh and lakes are usually more widespread and channels may bifurcate downstream
sessf:upper_mantle	That part of the mantle which lies above a depth of about 660 km and has a density of 3.4 g/cm3 to 4.0 g/cm3 with increasing depth. Similarly, P-wave velocity increases from about 8 to 11 km/sec with depth and S wave velocity increases from about 4.5 to 6 km/sec with depth. It is presumed to be peridotitic in composition. It includes the subcrustal lithosphere the asthenosphere and the transition zone,
sessf:upper_ocean_crust	Oceanic crustal setting dominated by extrusive rocks, abyssal oceanic sediment, with increasing mafic intrusive rock in lower part.
sessf:urban_setting	a densely populated area with many human-made structures; a human settlement with a high population density and an infrastructure of built environment
sessf:valley	a relatively flat area bounded by hills or mountains
sessf:volcanic_arc	A generally curvillinear belt of volcanoes above a subduction zone.
sessf:volcanic_complex	A geologic unit consisting of extrusive igneous rocks, with associated pyroclastic rocks, tuffite, and subvolcanic instrusive rocks.
sessf:volcanic_setting	Features related to the eruption of lava near, at, or above the earth surface. Might include atmospheric products of volcanic eruption, in terrestrial, lacustrine, or marine environments, related hypabyssal intrusions or hydrothermal systems.
sessf:volcano	
sessf:wetland	Setting characterized by gentle surface slope, and at least intermittent presence of standing water, which may be fresh, brackish, or saline. Wetland may be terrestrial setting or shoreline setting.
sessf:xenolith	small rock body contained within an igneous host rock body.
